num_processes,num_resources,distributed,dynamic_join_leave,total_allocation,total_max,total_need,total_available,num_executable_processes,blocked_processes,fraction_blocked,utilization_ratio,need_to_available_ratio,deadlock
6,3,0,0,3.2223390430186103,73.03569464509569,69.81335560207708,16.77766095698139,1.0,5.0,0.8333333333333334,0.16111695215093053,4.161089902882255,0
13,2,0,0,0.0,66.97077707882241,66.97077707882241,7.0,2.0,11.0,0.8461538461538461,0.0,9.567253868403201,0
3,3,0,1,0.9234456191122806,29.95021500450364,29.02676938539136,13.07655438088772,1.0,2.0,0.6666666666666666,0.0659604013651629,2.2197567141858086,0
13,2,0,0,0.0,54.09647895016368,54.09647895016368,7.0,3.0,10.0,0.7692307692307693,0.0,7.728068421451954,0
12,3,0,0,2.7397261671457356,106.39755176920715,103.65782560206142,11.260273832854264,2.0,10.0,0.8333333333333334,0.1956947262246954,9.205622095940285,0
11,4,1,0,26.083079217930624,227.93572093041746,201.85264171248684,13.916920782069376,1.0,10.0,0.9090909090909091,0.6520769804482656,14.504116598303463,0
7,7,1,0,31.977848930163354,219.58637462410874,187.60852569394538,29.022151069836646,1.0,6.0,0.8571428571428571,0.5242270316420222,6.464321863754993,0
7,7,1,0,32.83018808776323,225.28643332682077,192.45624523905752,28.169811912236767,1.0,6.0,0.8571428571428571,0.53819980471743,6.83200320394954,0
12,3,0,0,3.0488607189971146,99.52294932433551,96.4740886053384,10.951139281002884,2.0,10.0,0.8333333333333334,0.21777576564265105,8.809502475481573,0
13,2,0,0,0.0,64.45579533444334,64.45579533444334,7.0,3.0,10.0,0.7692307692307693,0.0,9.207970762063335,0
13,2,0,0,0.0,68.43704178557851,68.43704178557851,7.0,2.0,11.0,0.8461538461538461,0.0,9.776720255082646,0
7,5,0,0,41.621611116375,203.9091116539085,162.2875005375335,18.378388883625,0.0,7.0,1.0,0.69369351860625,8.83034424644972,1
10,2,0,0,40.70584619867921,127.57388675455309,86.86804055587388,0.0,0.0,10.0,1.0,1.4036498689199728,86.86804055587388,1
12,3,0,0,3.354186961542804,102.80867376563194,99.45448680408913,10.645813038457195,2.0,10.0,0.8333333333333334,0.23958478296734315,9.342122245132176,0
12,3,0,0,2.9456190324987936,114.79816669985023,111.85254766735143,11.054380967501206,2.0,10.0,0.8333333333333334,0.21040135946419955,10.11839088920374,0
4,5,1,0,30.0241843302363,89.11434617447648,59.090161844240185,23.9758156697637,1.0,3.0,0.75,0.5560034135228944,2.4645735793990013,0
13,2,0,0,0.0,60.62497137501613,60.62497137501613,7.0,3.0,10.0,0.7692307692307693,0.0,8.660710196430875,0
10,4,0,0,65.32029668305007,327.13895596772005,261.81865928467,0.0,0.0,10.0,1.0,1.3064059336610014,261.81865928467,1
6,2,0,0,5.22411475690905,36.553301221344014,31.329186464434965,2.7758852430909497,1.0,5.0,0.8333333333333334,0.6530143446136313,11.28619655384237,0
6,3,0,0,2.853745513765066,65.28197851036538,62.428232996600315,17.146254486234934,2.0,4.0,0.6666666666666666,0.1426872756882533,3.6409253721690584,0
12,3,0,0,3.1137004351218134,118.68200935991294,115.56830892479113,10.886299564878186,1.0,11.0,0.9166666666666666,0.22240717393727238,10.615940543988172,0
13,2,0,0,0.0,62.941938601906394,62.941938601906394,7.0,2.0,11.0,0.8461538461538461,0.0,8.991705514558056,0
3,4,0,0,19.48998639551471,55.19838753271655,35.70840113720185,15.510013604485291,1.0,2.0,0.6666666666666666,0.5568567541575631,2.3022804523443776,0
12,3,0,0,3.117139908156402,102.47138965455433,99.35424974639793,10.882860091843598,2.0,10.0,0.8333333333333334,0.22265285058260015,9.129424517812296,0
6,4,0,0,13.27271695888114,118.79122742747231,105.51851046859116,22.72728304111886,1.0,5.0,0.8333333333333334,0.3686865821911428,4.642812353666913,0
10,4,0,0,63.52650560753066,324.22594078383946,260.6994351763088,0.0,0.0,10.0,1.0,1.2705301121506132,260.6994351763088,1
10,4,0,0,49.84318237414907,247.61284313530567,197.7696607611566,0.0,0.0,10.0,1.0,1.0604932420031719,197.7696607611566,1
12,3,0,0,2.470130454054228,96.17851198120783,93.7083815271536,11.529869545945772,2.0,10.0,0.8333333333333334,0.17643788957530201,8.127445081120117,0
13,2,0,0,0.0,67.02823935898265,67.02823935898265,7.0,2.0,11.0,0.8461538461538461,0.0,9.575462765568949,0
10,4,0,0,69.71498560182101,323.7289696338895,254.0139840320685,0.0,0.0,10.0,1.0,1.3942997120364202,254.0139840320685,1
10,2,0,0,14.971319380952536,104.46096702258052,89.48964764162798,4.0286806190474636,0.0,10.0,1.0,0.7879641779448704,22.213140257017148,1
13,2,0,0,0.0,59.29658243291151,59.29658243291151,7.0,2.0,11.0,0.8461538461538461,0.0,8.470940347558786,0
9,3,0,0,8.486899500834557,89.36879583888796,80.88189633805341,10.513100499165443,1.0,8.0,0.8888888888888888,0.44667892109655566,7.6934388998254155,0
3,2,0,0,15.562928085851269,43.36066824415619,27.79774015830492,6.437071914148731,0.0,3.0,1.0,0.7074058220841486,4.318382725724297,1
